sn|council|indicator_group|indicator|metric|year|value
1|Petauke Town Council|Secondary Boarding and Skills Development Bursaries Supported|Secondary Boarding and Skills Development Bursaries Supported|target|2024|543
2|Petauke Town Council|Secondary Boarding and Skills Development Bursaries Supported|01 Number of secondary boarding bursary learners supported|target|2024|351
3|Petauke Town Council|Ward Development Committees backstopped|Ward Development Committees backstopped|target|2024|13
4|Petauke Town Council|Ward Development Committees backstopped|01 Number of Ward Development Committees backstopped|target|2024|46
5|Petauke Town Council|Number of Ward Development Committees formed and orientaed|Number of Ward Development Committees formed and orientaed|target|2024|13
6|Petauke Town Council|Council Meetings Held|Council Meetings Held|target|2024|3
7|Petauke Town Council|Council Meetings Held|02 Number of Special Council meetings conducted|target|2024|13
8|Petauke Town Council|Community Engagement Meetings Held|Community Engagement Meetings Held|target|2024|26
9|Petauke Town Council|Environmental Compliance Inspections Conducted|Environmental Compliance Inspections Conducted|target|2024|10
10|Petauke Town Council|Planning Permission Granted|Planning Permission Granted|target|2024|20
11|Petauke Town Council|National Days Commemorated|National Days Commemorated|target|2024|2
12|Petauke Town Council|Building inspections conducted|Building inspections conducted|target|2024|12
13|Petauke Town Council|Unclaimed Bodies Disposed|Unclaimed Bodies Disposed|target|2024|10
14|Petauke Town Council|Food Safety Guaranteed|Food Safety Guaranteed|target|2024|440
15|Petauke Town Council|Food Safety Guaranteed|01 Numner of premises in compliance to minimum public health standards|target|2024|60
16|Petauke Town Council|Solid Waste Management Improved|Solid Waste Management Improved|target|2024|6750
17|Petauke Town Council|Solid Waste Management Improved|01 Tonnage of solid waste collected|target|2024|48
18|Petauke Town Council|Trading Spaces Created|01 Number of markets constructed|target|2024|3
19|Petauke Town Council|WASHE Conditions Improved in the District|WASHE Conditions Improved in the District|target|2024|52
20|Petauke Town Council|WASHE Conditions Improved in the District|01 Number of Community Sensitisations Campaign on WASHE conducted|target|2024|697
21|Petauke Town Council|Sports Activities Promoted|06 Number of coaching clinics conducted|target|2024|27
22|Petauke Town Council|Pre-School Enrolment|Pre-School Enrolment|target|2024|33
23|Petauke Town Council|Cases of Public Muisance Resolved|Cases of Public Muisance Resolved|target|2024|88
24|Petauke Town Council|Fire Protection Services Implemented|Fire Protection Services Implemented|target|2024|100
25|Petauke Town Council|Fire Protection Services Implemented|01 Percentage of sensitisation meetings on risk management conducted|target|2024|100
26|Petauke Town Council|Internal Audit Reports Actioned|Internal Audit Reports Actioned|target|2024|3
27|Petauke Town Council|Procurement plan Developed|Procurement plan Developed|target|2024|1
28|Petauke Town Council|Provincial Development Coordinating Committee meeting Attended|Provincial Development Coordinating Committee meeting Attended|target|2024|3
29|Petauke Town Council|District Development Coordinating Committee Meetings Held|District Development Coordinating Committee Meetings Held|target|2024|3
30|Petauke Town Council|Management Meetings Held|Management Meetings Held|target|2024|12
31|Petauke Town Council|Council OS Revenue Base Expanded|01 Number of Revenue agents (WDCs) engaged in revenue collection|target|2024|8
32|Petauke Town Council|Essential Medicines Services Provided|Essential Medicines Services Provided|target|2024|80
33|Petauke Town Council|Performance Assessment Conducted|Performance Assessment Conducted|target|2024|28
